"","name","decade","type","budget"
"129","From_Hell_(film)","",TRUE,3.5e+07
"130","Edward_Scissorhands","",TRUE,2e+07
"131","Chris_Pine","10",FALSE,NA
"132","The_Man_Who_Cried","",TRUE,NA
"133","Coffee_and_Cigarettes","",TRUE,NA
"134","Traci_Lords","30",FALSE,NA
"135","Lily_Cole",NA,FALSE,NA
"136","Ned_Beatty",NA,FALSE,NA
"137","David_Kelly_(actor)",NA,FALSE,NA
"138","Holly_Robinson_Peete",NA,FALSE,NA
"139","Anna_Kendrick","10",FALSE,NA
"140","Freddie_Highmore","10",FALSE,NA
"141","Anne_Hathaway","10",FALSE,NA
"142","Oliver_Platt","20",FALSE,NA
"143","Jack_McBrayer",NA,FALSE,NA
"144","Billy_Bob_Thornton","30",FALSE,NA
"145","Alan_Rickman","30",FALSE,NA
"146","Timothy_Hutton","50",FALSE,NA
"147","Heather_Langenkamp",NA,FALSE,NA
"148","Rage_(2009_film)","",TRUE,NA
"149","Jaimie_Alexander","10",FALSE,NA
"150","The_Libertine_(2004_film)","",TRUE,2e+07
"151","Dakota_Johnson","10",FALSE,NA
"152","Christina_Ricci","20",FALSE,NA
"153","Tusk_(2014_film)","",TRUE,NA
"154","James_Corden",NA,FALSE,NA
"155","Slow_Burn_(1986_film)","",TRUE,NA
"156","Austin_Butler","10",FALSE,NA
"157","Tyler_Posey","10",FALSE,NA
"158","Rosamund_Pike","10",FALSE,NA
"159","Meryl_Streep","40",FALSE,NA
"160","Alice_Through_the_Looking_Glass_(film)","",TRUE,NA
"161","Turks_&_Caicos_(film)","",TRUE,NA
"162","Andrew_Garfield","10",FALSE,NA
"163","Juliette_Binoche","30",FALSE,NA
"164","Mystery_Men","",TRUE,6.8e+07
"165","Into_the_Woods_(film)","",TRUE,5e+07
"166","Mia_Wasikowska",NA,FALSE,NA
"167","Boogie_Nights","",TRUE,1.5e+07
"168","Olympus_Has_Fallen","",TRUE,7e+07
"169","Ron_Howard","50",FALSE,NA
"170","Steven_Williams",NA,FALSE,NA
"171","The_Dark_Knight_Trilogy","",TRUE,5.65e+08
"172","Ed_Wood_(film)","",TRUE,1.8e+07
"173","John_Saxon_(actor)","60",FALSE,NA
"174","Franka_Potente","20",FALSE,NA
"175","Leslie_Easterbrook",NA,FALSE,NA
"176","Ray_Winstone","40",FALSE,NA
"177","Vincent_Gallo","30",FALSE,NA
"178","Steven_Berkoff","50",FALSE,NA
"179","The_Imaginarium_of_Doctor_Parnassus","",TRUE,3e+07
"180","Blow_(film)","",TRUE,5.3e+07
"181","Martin_Landau","60",FALSE,NA
"182","Ray_Liotta","30",FALSE,NA
"183","Yoga_Hosers","",TRUE,NA
"184","Jude_Law","20",FALSE,NA
"185","Helena_Bonham_Carter","30",FALSE,NA
"186","Aidan_Quinn",NA,FALSE,NA
"187","Jerry_Lewis",NA,FALSE,NA
"188","Ian_McShane","50",FALSE,NA
"189","Eric_Roberts","30",FALSE,NA
"190","Dianne_Wiest","40",FALSE,NA
"191","Michaela_Watkins","10",FALSE,NA
"192","The_Gruffalo_(film)","",TRUE,NA
"193","Samantha_Morton","20",FALSE,NA
"194","The_Rum_Diary_(film)","",TRUE,4.5e+07
"195","Geoffrey_Rush","40",FALSE,NA
"196","Gloria_Reuben",NA,FALSE,NA
"197","Danny_Trejo","30",FALSE,NA
"198","Animal_Factory","",TRUE,NA
"199","Stephen_Root","20",FALSE,NA
"200","Christopher_Lee","70",FALSE,NA
"201","Alfred_Molina","30",FALSE,NA
"202","Radha_Mitchell","20",FALSE,NA
"203","Patricia_Arquette","20",FALSE,NA
"204","Kevin_Bacon","30",FALSE,NA
"205","Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl","",TRUE,1.4e+08
"206","Maria_Bello",NA,FALSE,NA
"207","Peter_Sarsgaard",NA,FALSE,NA
"208","The_Tourist_(2010_film)","",TRUE,1e+08
"209","Marco_Leonardi",NA,FALSE,NA
"210","John_Turturro","30",FALSE,NA
"211","Giovanni_Ribisi","30",FALSE,NA
"212","Rango_(2011_film)","",TRUE,1.35e+08
"213","C._C._H._Pounder","30",FALSE,NA
"214","Marlon_Brando","70",FALSE,NA
"215","Andrew_Lauer",NA,FALSE,NA
"216","Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales","",TRUE,NA
"217","Aaron_Eckhart","20",FALSE,NA
"218","Amanda_Wyss","30",FALSE,NA
"219","John_Malkovich","40",FALSE,NA
"220","Bill_Nighy","40",FALSE,NA
"221","Patton_Oswalt",NA,FALSE,NA
"222","Hugh_O'Conor",NA,FALSE,NA
"223","Salma_Hayek","20",FALSE,NA
"224","The_Hobbit_(film_series)","",TRUE,6.75e+08
"225","9_(2009_animated_film)","",TRUE,3e+07
"226","Timothy_Spall",NA,FALSE,NA
"227","Amy_Locane","30",FALSE,NA
"228","Crispin_Glover","30",FALSE,NA
"229","Rory_Cochrane","20",FALSE,NA
"230","Seymour_Cassel",NA,FALSE,NA
"231","The_Gruffalo's_Child_(film)","",TRUE,NA
"232","John_Hurt","50",FALSE,NA
"233","Cry-Baby","",TRUE,1.2e+07
"234","Andy_Richter",NA,FALSE,NA
"235","Keira_Knightley","20",FALSE,NA
"236","Verne_Troyer","20",FALSE,NA
"237","Johnny_Depp","30",FALSE,NA
"238","John_Wood_(English_actor)",NA,FALSE,NA
"239","The_Brave","",TRUE,NA
"240","Mickey_Rourke",NA,FALSE,NA
"241","Anthony_Michael_Hall","30",FALSE,NA
"242","Leslie_Caron","60",FALSE,NA
"243","Christian_De_Sica",NA,FALSE,NA
"244","Cole_Hauser",NA,FALSE,NA
"245","Cate_Blanchett","20",FALSE,NA
"246","Angelina_Jolie","30",FALSE,NA
"247","Richard_Jenkins",NA,FALSE,NA
"248","Harry_Dean_Stanton","60",FALSE,NA
"249","Lili_Taylor","30",FALSE,NA
"250","Rufus_Sewell",NA,FALSE,NA
"251","Justin_Long",NA,FALSE,NA
"252","Cara_Delevingne",NA,FALSE,NA
"253","Cillian_Murphy","20",FALSE,NA
"254","Joel_Edgerton","20",FALSE,NA
"255","Beverly_D'Angelo","40",FALSE,NA
"256","London_Fields_(film)","",TRUE,NA
"257","Michelle_Pfeiffer","30",FALSE,NA
"258","Raoul_Bova","30",FALSE,NA
"259","Vincent_Price","80",FALSE,NA
"260","Dustin_Nguyen","30",FALSE,NA
"261","Arizona_Dream","",TRUE,NA
"262","Haley_Joel_Osment","20",FALSE,NA
"263","Eva_Mendes","10",FALSE,NA
"264","Iggy_Pop","50",FALSE,NA
"265","John_Cusack","30",FALSE,NA
"266","Polly_Bergen","60",FALSE,NA
"267","Once_Upon_a_Time_in_Mexico","",TRUE,2.9e+07
"268","The_Aviator_(2004_film)","",TRUE,1.1e+08
"269","Private_Resort","",TRUE,NA
"270","Yvan_Attal",NA,FALSE,NA
"271","Frank_Langella","50",FALSE,NA
"272","Missi_Pyle","20",FALSE,NA
"273","Eva_Green","10",FALSE,NA
"274","Paul_Reubens","30",FALSE,NA
"275","Raymond_J._Barry",NA,FALSE,NA
"276","Joe_Grifasi",NA,FALSE,NA
"277","21_Jump_Street","",TRUE,NA
"278","Jack_Taylor_(actor)",NA,FALSE,NA
